post_num,links,img_url,timestamp,num_comments,num_likes,caption
53,https://www.instagram.com/p/BfK7CyOnavv_Ki6fENUSoksx0rduoRNpj9nm2M0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/4b5e50e7622e6264193c21a488be8f33/5C86F8ED/t51.2885-15/e35/27580527_867826226711372_8850217006071283712_n.jpg,1518597468,1,139,. . . . تو درختــــ خوبـــــ منظر  همــه میـوه‌ ای ولیــــکن چه کنم به دستـــــ کوتـه که نمی‌رسـد به سیبتـــــ . . . #سعدی
52,https://www.instagram.com/p/BeKhYcfH9B15-qOiySggmTzeaBlRYG9Xk2i6EM0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/f5f67b4558769afb114af9ce9d9176a3/5C834991/t51.2885-15/e35/26871056_187651245160349_3979260901659246592_n.jpg,1516436530,2,129,. . . . . من چه سبزم امروز . . . #شاخه #سهراب
51,https://www.instagram.com/p/BdbwitonWoMPjJR1VXRrFbi8ydB5JRx824aNjs0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/ec1dc1a8a30412fc4cd8f34ba43cdb49/5C7272C6/t51.2885-15/e35/26305918_1278857618924522_38720216800165888_n.jpg,1514867420,3,191,. . . . عاقبت آن سرو  سبزآ سبز خواهد گشت و  بالابال  عاقبت آن صبح خواهد رُست  نز میان باور فرتوت ما  امّا  از میان دفتر نقاشی اطفال . . . .  #شفیعی_کدکنی #طلوع #ایران
50,https://www.instagram.com/p/Bc2IAOWnFTmlXtMj9Nuc-Cld4OfMc1ZkmJPpl80/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/785d32b2751e6e0ccc8f07329479c6ef/5C688974/t51.2885-15/e35/25012650_133051830814315_5562088961645477888_n.jpg,1513604652,0,137,. . . . در جوی زمان ، در خواب تماشای تو می رویم. سیمای روان ، با شبنم افشان تو می شویم. پرهایم ؟ پرپر شده ام. چشم نویدم ، به نگاهی تر شده ام. این سو نه ، آن سویم. و در آن سوی نگاه ، چیزی را می بینم، چیزی را می جویم. سنگی مى شکنم، رازی با نقش تو می گویم. برگ افتاد ، نوشم باد من زنده به اندوهم. ابری رفت، من کوهم: می پایم. من بادم: می پویم. در دشت دگر ، گل افسوسی چو بروید، می آیم، می بویم . . #سهراب_سپهرى
49,https://www.instagram.com/p/Bb3wFoVn-lkIEMcgo9BRQkMslw_jfJR8r2jiR40/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/ebfd7773410e26eb47a438575f9ec00c/5C65FBDE/t51.2885-15/e35/23824820_372697806506305_3449238937782976512_n.jpg,1511511739,2,125,. . . .  به مِی عمارتِ دل کن که این جهان ِ خراب بر آن سر است که از خاکِ ما بسازد خِشت... . . ‌. #حافظ
48,https://www.instagram.com/p/BbJeoqlnMLLyrULgPyzbRaMFv87BuabpY1TptI0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/3e7b894d31faef7502a024c7dc779bd7/5C6B1D53/t51.2885-15/e35/23164659_275185316336363_9026903138765897728_n.jpg,1509959085,1,107,. . . . هر کسی را  چیزی به جایی می رساند . . . #کلاس_هفتمی
47,https://www.instagram.com/p/BatGawSn0Ls9jfngskT8Cx13LEyWlCEm09NHCY0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/bc6c71b51aa6659d5c6c92199b7c5945/5C50B2E3/t51.2885-15/e35/22802792_1466050700168598_7226926866643288064_n.jpg,1509006864,2,144,. . . . . کِشان  کِشان  به بهشتم بَرَند و من نروم!  که دل نمی کشد  ای دوست  جز بسوی توام...
46,https://www.instagram.com/p/Bad-strHkpIAvolegeLbAuoqWH0odQoJSZ_-Ro0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/fdd28ec8cb06feee785ee772ada08fe0/5C7F80D7/t51.2885-15/e35/22708656_1227119790726746_1006680621252083712_n.jpg,1508499500,3,162,. . . . نامت هنوز هم هیجان می دهد مرا این پرچم شماست ، تکان می دهد مرا...
45,https://www.instagram.com/p/BaMP_lcnkUsrhdMbCHl98x_vzPXROclsvCUoB80/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/5fd04453eef41446f28b5e64883bd4ce/5C7D086A/t51.2885-15/e35/22426761_287754951731381_7779015414708699136_n.jpg,1507904588,0,131,. . . . . نه هر درخت تحمل کند جفای خزان غلام همت سروم که این قدم دارد  ز سر غیب کس آگاه نیست قصه مخوان کدام محرم دل ره در این حرم دارد  #حافظ
44,https://www.instagram.com/p/BXWOw-HBAuJr2YK35u3DvJa3MsggIMQeakk3oU0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/def4f70faf0f3f195db73ddebb2f6607/5C8682DF/t51.2885-15/e35/20589534_108985373107533_5984679748905730048_n.jpg,1501797037,0,148,. . . . خرقـه زهد و جام مـِی  گـر چه نه درخـورهمند این همـه نقش می‌زنم  از جهتـــــــ رضــایِ تو  شــاه ‌نشین چَشــم من  تکیه گه خیال توستـــ جای دعاستــــ شاه من  بی تو مباد جـــای تــو  #یا_رضا
